category_code,category_name,attribute_code,attribute_name,is_primary,filter_operator
451,"Grily na uhlí a dřevo",,,,
452,"Přenosné grily",,,,
453,"Jednorázové grily",,,,
454,Udírny,,,,
455,"Příslušenství ke grilům a udírnám",1127,"Typ příslušenství",true,OR
456,"Bazény s konstrukcí",,,,
457,"Nafukovací bazény",,,,
458,Vířivky,,,,
459,"Příslušenství k bazénům a vířivkám",,,,
460,"Solární sprchy",,,,
461,Filtrace,,,,
462,Infrasauny,,,,
463,"Příslušenství pro sauny",,,,
464,"Nafukovací lehátka a matrace",,,,
465,"Benzínové rotační sekačky",,,,
466,"Elektrické rotační sekačky",,,,
467,"Akumulátorové rotační sekačky",,,,
468,"Robotické sekačky",,,,
469,"Vřetenové sekačky",,,,
470,"Rotační sekačky",,,,
471,"Bubnové sekačky",,,,
472,"Zahradní traktory",,,,
473,"Příslušenství pro sekačky",,,,
474,"Křovinořezy a Vyžínače",,,,
475,"Příslušenství pro Křovinořezy a Vyžínače",,,,
476,"Doplňky pro mazlíčky",,,,
477,Věšáky,,,,
478,"Ostatní interiérové doplňky",,,,
479,Fotorámečky,,,,
480,"Elektrické radiátory",,,,
481,"Průtokové ohřívače",,,,
482,Bojlery,,,,
483,"Plynové kamna",,,,
484,"Elektrická topidla",1138,"Typ topení",true,OR
485,Detektory,1135,"Typ detekce",true,AND
486,Zámky,,,,
487,"Trezory a Bezpečnostní schránky",,,,
488,"Domovní alarmy",,,,
489,Fotopasti,,,,
490,"Ostatní Bezpečnostní technika",,,,
491,"Sety zahradního nábytku",,,,
492,Stoly,,,,
493,"Křesla a Židle",,,,
494,Lehátka,,,,
495,Houpačky,,,,
496,"Párty stany",,,,
497,"Podstavné digestoře",,,,
498,"Výsuvné digestoře",,,,
499,"Komínové digestoře",,,,
500,"Ostrůvkové digestoře",,,,
501,"Vestavné digestoře",,,,
502,"Příslušenství pro digestoře",,,,
503,"Chladící skříně",,,,
504,"Chladící vitríny",,,,
505,"Truhlicové mrazničky",,,,
506,"Výčepní zařízení",,,,
507,"Ostatní Gastro spotřebiče",,,,
508,"Kombinované lednice",,,,
509,"Lednice bez mrazáku",,,,
510,"Americké lednice",,,,
511,"Jednodvéřové lednice",,,,
512,"Lednice na nápoje",,,,
513,"Retro lednice",,,,
514,"Malé lednice",,,,
515,"Vestavné lednice",,,,
516,Autochladničky,,,,
517,"Příslušenství k lednicím",,,,
518,"Volně stojící mikrovlnné trouby",,,,
519,"Vestavné mikrovlnné trouby",,,,
520,"Příslušenství k mikrovlnným troubám",,,,
521,"Truhlicové mrazáky",,,,
522,"Šuplíkové mrazáky",,,,
523,"Vestavné mrazáky",,,,
524,"Příslušenství k mrazákům",,,,
525,"Volně stojící myčky",,,,
526,"Vestavné myčky",,,,
527,"Stolní myčky",,,,
528,"Příslušenství k myčkám",,,,
529,"Pračky s předním plněním",,,,
530,"Pračky s horním plněním",,,,
531,"Pračky se sušičkou",,,,
532,"Parní pračky",,,,
533,"Vestavné pračky",,,,
534,"Set Pračka a Sušička",,,,
535,Minipračky,,,,
536,"Příslušenství k pračkám",,,,
537,"Elektrické sporáky",,,,
538,"Indukční sporáky",,,,
539,"Plynové sporáky",,,,
540,"Kombinované sporáky",,,,
541,"Sklokeramické sporáky",,,,
542,"Příslušenství ke sporákům",,,,
543,"Kondenzační sušičky",,,,
544,"Sušičky s tepelným čerpadlem",,,,
545,"Vestavné sušičky",,,,
546,"Příslušenství k sušičkám",,,,
547,"Indukční varné desky",,,,
548,"Sklokeramické varné desky",,,,
549,"Plynové desky",,,,
550,"Elektrické desky",,,,
551,"Kombinované desky",,,,
552,Vařiče,,,,
553,"Příslušenství k varným deskám",,,,
554,"Horkovzdušné vestavné trouby",,,,
555,"Multifunkční vestavné trouby",,,,
556,"Příslušenství k troubám",,,,
557,"Volně stojící vinotéky",,,,
558,"Vestavné vinotéky",,,,
559,"Příslušenství k vinotékám",,,,
560,"Čističky vzduchu",,,,
561,Odvlhčovače,,,,
562,Zvlhčovače,,,,
563,"Aroma difuzéry",,,,
564,Rýžovary,,,,
565,"Multifunkční hrnce",,,,
566,"Parní hrnce",,,,
567,"Elektrické pánve",,,,
568,Remosky,,,,
569,"Zavařovací hrnce",,,,
570,Kávovary,,,,
571,Espressa,,,,
572,"Mlýnky na kávu",,,,
573,"Napěnovače mléka",,,,
574,Smoothie,,,,
575,"Tyčové mixéry",,,,
576,"Stolní mixéry",,,,
577,"Ruční šlehače",,,,
578,"Sekáčky potravin",,,,
579,"Šnekové odšťavňovače",,,,
580,"Odstředivé odšťavňovače",,,,
581,"Odšťavňovací hrnce",,,,
582,Citrusovače,,,,
583,"Rychlovarné konvice",,,,
584,"Výrobníky sody",,,,
585,"Výrobníky ledu",,,,
586,Termosky,,,,
587,"Odstrňovače žmolků",,,,
588,"Sušáky na prádlo",,,,
589,Mopy,,,,
590,"Parní čističe",,,,
591,"Odpadkové koše",,,,
592,Fritézy,,,,
593,"Sušičky ovoce",,,,
594,"Kuchyňské váhy",,,,
595,"Mlýnky a kráječe",,,,
596,"Domácí pekárny",,,,
597,"Topinkovače a sendvičovače",,,,
598,"Vakuové baličky",,,,
599,"Kuchyňské roboty",,,,
600,"Vychytávky do kuchyně",,,,
601,Klimatizace,,,,
602,"Stolní ventilátory",,,,
603,"Stojanové ventilátory",,,,
604,"Ostatní ventilátory",,,,
605,"Ochlazovače vzduchu",,,,
606,"Akumulátorové vysavače",,,,
607,"Tyčové vysavače",,,,
608,"Příslušenství k robot. vysavačům",,,,
609,"Sáčkové vysavače",,,,
610,"Bezsáčkové vysavače",,,,
611,"Průmyslové vysavače",,,,
612,"Víceúčelové vysavače",,,,
613,"Vysavače do auta",,,,
614,"Vysavače na okna",,,,
615,"Příslušenství k vysavačům",,,,
616,Tepovače,,,,
617,Zametače,,,,
618,"Napařovací žehličky",,,,
619,"Žehličky s parním generátorem",,,,
621,"Cestovní žehličky",,,,
622,"Žehlící prkna",,,,
623,"Příslušenství k žehličkám",,,,
624,"Šicí stroje",,,,
625,"Pánské kola",,,,
626,"Dámská kola",,,,
627,"Dětské kola",,,,
628,Koloběžky,,,,
629,Helmy,,,,
630,Cyklodoplňky,1132,"Typ cyklodoplňku",true,OR
631,"Komponenty na kolo",,,,
632,"Zahradní tampolíny",,,,
633,"Zahradní houpačky",,,,
634,"Dětské hřiště",,,,
635,"Nafukovací hrady",,,,
636,Skluzavky,,,,
637,"Doplňky do vody",,,,
638,"Doplňky na sníh",,,,
639,Elektrokola,,,,
640,"Příslušenství k elektrokolům",,,,
641,Elektrokoloběžky,,,,
642,"Příslušenství k elektrokoloběžkám",,,,
643,Hoverboardy,,,,
644,"Příslušenství k hoverboardům",,,,
645,"Turistické navigace",,,,
646,Stany,1159,Produkt,true,OR
647,Spacáky,1165,"Izolační náplň",true,OR
648,"Kempingový nábytek",,,,
649,"Doplňky ke kempování",,,,
650,"Trekové hole",1168,Produkt,true,OR
651,Karimatky,1166,Produkt,true,OR
652,Batohy,1167,Produkt,true,OR
653,Tašky,,,,
654,"Kabinová zavazadla",,,,
655,Kufry,,,,
656,Peněženky,,,,
657,"Školní batohy",,,,
658,"Kufry na kolečkách",,,,
659,"Doplňky ke kufrům",,,,
660,"Dětské elektrické kartáčky",,,,
661,"Náhradní hlavice",1144,"Typ náhradní hlavice",true,OR
662,"Ústní sprchy",,,,
663,"Příslušenství ke kartáčkům",,,,
664,"Zubní centra",,,,
665,Ostatní,,,,
666,"IPL epilátory",,,,
667,Epilátory,,,,
668,"Planžetové holící strojky",,,,
669,"Frézkové holící strojky",,,,
670,"Příslušenství k holícím strojkům",,,,
671,"Zastřihávače vousů",,,,
672,"Zastřihávače vlasů",,,,
673,"Zastřihávače chloupků",,,,
674,"Příslušenství k zastřihovačům",,,,
675,"Digitální váhy",,,,
676,"Diagnostické váhy",,,,
677,"Chytré váhy",,,,
678,"Dětské chůvičky",,,,
679,"Potřeby pro kojení",,,,
680,"Ostatní kojenecé potřeby",,,,
681,"Kosmetické přístroje",,,,
682,"Masážní přístroje",,,,
683,"Manikůra a pedikůra",,,,
684,"Ostatní péče o tělo",,,,
685,"Žehličky na vlasy",,,,
686,Kulmofény,,,,
687,Kulmy,,,,
688,"Žehlící kartáče",,,,
689,Krepovačky,,,,
690,Natáčky,,,,
691,"Pažní tlakoměry",,,,
692,"Zápěstní tlakoměry",,,,
693,"Digitální teploměry",,,,
694,"Bezkontaktní teploměry",,,,
695,"Diagnostické testy",,,,
696,Glukometry,,,,
697,Oxymetry,,,,
698,Inhalátory,,,,
699,"Dioptrické pomůcky",,,,
700,Žebříky,1128,"Typ žebříku",true,OR
701,"Mini trouby",,,,
702,Fény,,,,
703,"Lapače hmyzu",,,,
704,"Pomocníci do kuchyně",,,,
705,"Ostatní zdravotnické pomůcky",,,,
706,"Vyhřívané dečky",,,,
707,"Čistící prostředky",,,,
708,"Videotelefony a kukátka",,,,
709,Termostaty,,,,
710,Elektrocentrály,1147,"Typ zdroje",true,OR
711,"Prodlužovací přívody",,,,
