ProId,Code,Name,waranty,endUserPrice,PartNumber,OnStock,OnStockText,ProducerName,EANCode,descriptionShort,description,img
1553925,1061721,"Samsung MT LED LCD Monitor 32""32A700NWUXEN-plochý,VA,3840x2160,5ms,60Hz,HDMI,DisplayPort","24 Měsíc(ů)",8887.00,LS32A700NWUXEN,true,50-99,Samsung,8806090952555,,,https://c.edsystem.cz/IMGCACHE/_1553/1553925_0a_3.jpg
1553971,478443,"LENOVO klávesnice drátová USB Numeric Keypad Gen II, černá","12 Měsíc(ů)",677.00,4Y40R38905,false,"0,00",Lenovo,192563495987,,,https://c.edsystem.cz/IMGCACHE/_1553/1553971_0a_3.jpg
1554142,613921,"Sandberg USB kamera Webcam Motion Tracking 1080P","5 Rok(ů)",1250.00,134-27,false,"0,00",Sandberg,5705730134272,,,https://c.edsystem.cz/IMGCACHE/_1554/1554142_0a_3.jpg
1554143,613922,"Sandberg USB kamera Webcam Pro Elite 4K UHD","5 Rok(ů)",3812.00,134-28,false,"0,00",Sandberg,5705730134289,,,https://c.edsystem.cz/IMGCACHE/_1554/1554143_0a_3.jpg
1554223,1061722,"Samsung MT LED LCD Smart Monitor 43"" 43AM700UUXEN -plochý,VA,3840x2160,8ms,60Hz,HDMI,USBC,Repro","24 Měsíc(ů)",12193.00,LS43AM700UUXEN,true,"6,00",Samsung,8806092232921,,,https://c.edsystem.cz/IMGCACHE/_1554/1554223_0a_3.jpg
1554232,525396,"RAPOO klávesnice E9100M, bezdrátová, Ultra-slim, CZ/SK, černá","24 Měsíc(ů)",857.00,6940056188847,true,10-49,Rapoo,6940056288847,,,https://c.edsystem.cz/IMGCACHE/_1554/1554232_0a_3.jpg
1554233,525397,"RAPOO klávesnice E9100M, bezdrátová, Ultra-slim, CZ/SK, bílá","24 Měsíc(ů)",857.00,6940056200020,true,"4,00",Rapoo,6940056200020,,,https://c.edsystem.cz/IMGCACHE/_1554/1554233_0a_3.jpg
1554504,1456320,"LCD HP V20 HD+ LED backlight AG TN; 19.5"" matný, 1600x900, 600:1, 200cd, 5ms,VGA,HDMI,black","12 Měsíc(ů)",2794.00,1H850AA#ABB,false,"0,00","HP Inc.",194850390579,,,https://c.edsystem.cz/IMGCACHE/_1554/1554504_0a_3.jpg
1554581,308928,"CONNECT IT Klávesnice NEO Compact, CZ+SK","36 Měsíc(ů)",470.00,CKB-3589-CS,false,"0,00","Connect IT",8595610628307,,,https://c.edsystem.cz/IMGCACHE/_1554/1554581_0a_3.jpg
1554739,615404,"REPAS DELL SOUNDBAR AX510 - přídavné reproduktory pro Dell LCD panely, 2x 5W, určeno pro modely Ultrasharp a Professiona","24 Měsíc(ů)",263.00,repas-615404,true,"3,00",Dell,615404,,,https://c.edsystem.cz/IMGCACHE/_1554/1554739_0a_3.jpg
1554757,1023479,"AXAGON HMA-CR3A, USB 3.2 Gen 1 hub, porty 3x USB-A + čtečka karet SD/microSD, kovový, kabel USB-A 20cm","24 Měsíc(ů)",404.00,HMA-CR3A,true,10-49,Axagon,8595247905581,,,https://c.edsystem.cz/IMGCACHE/_1554/1554757_0a_3.jpg
1554758,1023480,"AXAGON HMA-GL3A, USB 3.2 Gen 1 hub, porty 3x USB-A + Gigabit Ethernet, kovový, kabel USB-A 20cm","24 Měsíc(ů)",421.00,HMA-GL3A,true,50-99,Axagon,8595247905598,,,https://c.edsystem.cz/IMGCACHE/_1554/1554758_0a_3.jpg
1554759,1023481,"AXAGON HMA-GL3AP, USB 3.2 Gen 1 hub, porty 3x USB-A + Gigabit Ethernet, kovový, micro USB nap. konektor, kabel USB-A 20c","24 Měsíc(ů)",487.00,HMA-GL3AP,true,10-49,Axagon,8595247905604,,,https://c.edsystem.cz/IMGCACHE/_1554/1554759_0a_3.jpg
1554812,311885,"Zyxel LTE7490-M904 4G LTE Pro Outdoor Router","60 Měsíc(ů)",11031.00,LTE7490-M904-EU01V1F,false,"0,00",ZyXEL,,,,https://c.edsystem.cz/IMGCACHE/_1554/1554812_0a_3.jpg
1554815,311886,"Zyxel NR7101 5G 4G LTE Outdoor Router","60 Měsíc(ů)",14491.00,NR7101-EU01V1F,false,"0,00",ZyXEL,4718937612925,,,https://c.edsystem.cz/IMGCACHE/_1554/1554815_0a_3.jpg
1554909,615405,"REPAS DELL LCD P2214Hb - 22"" IPS, 1920x1080@60 Hz, 250 cd/m2, 8 ms, VGA, DVI-D, Displayport, USB","24 Měsíc(ů)",2053.00,repas-861-BBCF,true,50-99,Dell,615405,,,https://c.edsystem.cz/IMGCACHE/_1554/1554909_0a_3.jpg
1554932,327575,"RAZER klávesnice Pro Type, bezdrátová, US Layout","24 Měsíc(ů)",3071.00,RZ03-03070100-R3M1,false,"0,00",Razer,8886419345275,,,https://c.edsystem.cz/IMGCACHE/_1554/1554932_0a_3.jpg
1554939,1561116,"GENIUS reproduktory GX GAMING SW-G2.1 3000 Ver.II, 2.1, 80W, černá","24 Měsíc(ů)",2280.00,31730021400,true,"2,00",Genius,4710268256496,,,https://c.edsystem.cz/IMGCACHE/_1554/1554939_0a_3.jpg
1555109,262794,"ASUS LCD 28"" VG289Q1A 3840x2160 TUF Gaming  IPS 90% DCI-P3 350cd DP HDMI FreeSync LowBL FF Shadow Boost HDR 10 REPRO","36 Měsíc(ů)",9259.00,90LM05B0-B02170,true,"4,00",Asus,4718017953443,,,https://c.edsystem.cz/IMGCACHE/_1555/1555109_0a_3.jpg
1555110,262795,"ASUS LCD 27"" PA278CV ProArt Professional  IPS WQHD 2560 x 1440 100%sRGB 5ms 350cd repro HDMI DP USB VESA Pivot","36 Měsíc(ů)",9369.00,90LM06Q0-B01370,false,"0,00",Asus,4718017910040,,,https://c.edsystem.cz/IMGCACHE/_1555/1555110_0a_3.jpg
1555113,262796,"ASUS LCD 24.5"" VG258QM FHD 1920x1080 WLED/TN Gaming 0.5ms up to 240Hz DP HDMI REPRO PIVOT","36 Měsíc(ů)",8557.00,90LM0450-B02370,true,10-49,Asus,4711081001751,,,https://c.edsystem.cz/IMGCACHE/_1555/1555113_0a_3.jpg
1555139,478466,"LENOVO LCD T27hv-20 - 27'',IPS,matný,16:9,2560x1440,178/178,4ms,350cd/m2,1000:1,HDMI,DP,USB-C,USB Hub,cam,rep,VESA,Pivot","36 Měsíc(ů)",9000.00,62A9GAT1EU,false,"0,00",Lenovo,195235002292,,,https://c.edsystem.cz/IMGCACHE/_1555/1555139_0a_3.jpg
1555259,748229,"ADATA Flash Disk 64GB UV350, USB 3.2 , kovový šedá","60 Měsíc(ů)",149.00,AUV350-64G-RBK,true,10-49,A-Data,4710273771168,,,https://c.edsystem.cz/IMGCACHE/_1555/1555259_0a_3.jpg
1555274,1129025,"ACER LCD R240HY, 60cm (23,8"") 1920x1080@60Hz IPS FHD,100M:1,250cd/m2,4ms,VGA,HDMI,Flicker-less,Blue Light Filter,č","36 Měsíc(ů)",2794.00,UM.QR0EE.026,false,"0,00",Acer,4710886538264,,,https://c.edsystem.cz/IMGCACHE/_1555/1555274_0a_3.jpg
1555413,524242,"GIGABYTE myš M6800 V2, USB, optická, 1600/800 DPI","24 Měsíc(ů)",306.00,GM-M6800V2,false,"0,00",Gigabyte,4719331548728,,,https://c.edsystem.cz/IMGCACHE/_1555/1555413_0a_3.jpg
1555434,254923,"MANHATTAN Splitter HDMI 4 porty, 4K@30Hz, černá","24 Měsíc(ů)",671.00,207706,true,"8,00",Manhattan,766623207706,,,https://c.edsystem.cz/IMGCACHE/_1555/1555434_0a_3.jpg
